名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
【康姐民宿】近二院三院，衡中五中，舒适二居能做饭,"
                嗨！我是您的管家小美，身为衡水本地人很高兴可以接待四方宾朋，期待与你们的相遇哦。
房子都是我们精心设计过的，愿您喜欢上咱家的小屋。您会发现：这里的点点滴滴都是我精心购买、用心装扮的，真心的希望能给每一个您带来家的温馨与舒适，房间以温馨为基础诠释主色调，床品也不外乎，从颜色搭配到家具壁画都是精挑细选。 
【户型】我的房子是2室1厅1厨1卫，清晨打开窗户呼吸下新鲜空气，精神焕发，开始1天幸福美好的生活。 
【客厅】有沙发，百兆wifl，茶几，让这个小家给您带来温馨舒适的感受
【卧室】主卧室一张直径二米大圆床米的，主卧室液晶电视，次卧室1.45×1.9米的双人床，可供3-4个人居住，床垫硬度适中，枕头是棉填充，希望您有个舒适的睡眠。
【卫生间】卫生间内设有24小时热
水，洗发水，沐浴露，洗手液、毛巾，浴巾，拖鞋，吹风机一次性牙刷牙膏，梳子等必备物品，请放心使用无需自带。
另外设有全自动洗衣机，免费洗衣服，可满足您随时随地洗衣的需求。
【康姐自营房屋优势】房屋配置国家认
证智能门锁，一客一密码，出 入无需钥匙门卡，距离
紧邻衡水第二医院200米，衡中1千米，五中东校区500米，距离德隆超市100米。美食（例如：京九火锅，多味饺子，老庙馄饨，）附近有菜市场，水果，蔬菜。药店、银行，便利店 美食一条街一应俱全。
咱们的小家就在第二人民医院附近。
附近有
31路，距离火车站5公里，打车预计15元以内，如果您是自驾出行，小区外有免费停车位（由于车位免费建议您提前到达，以免
被他人使用）
此价格不包含做饭和发票的费用，做饭需另加30元，开票请咨询商家，需要的宾客请提前告知店家，以便我们提前备好厨具和餐具
 关注【康姐民宿】，衡水住房不走冤枉路～
市内东西南北中海量房源供应。
            ",100%,28 晚,普通公寓,2室1厅,整租,"双人床
圆床",2张,4人,1,80平米,提供,衡水-桃城区-京衡南大街500号-兴农大厦,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '电饭煲']",,,0,,208,,100.0%,92.9%,86.9%,18,3.044
【康姐民宿】近高铁站/二中十四中/怡然城/精致二居,"
                智能密码锁，安全有保障，图片实拍，电梯直达房，黄金楼层，大气环保精装，整套独享，安静舒适无人打扰，双卧全新空调，液晶电视，电脑，免费使用wifi无线网，双人欧式席梦思大软床，床垫选用软硬适中健康床垫，床上用品每客必换，全自动滚筒洗衣机晾衣架，新冰箱，热水器随时热水淋浴，沙发茶几，餐桌餐椅，厨具齐全，可以洗衣做饭，干净整洁的家，设施齐全，拎包入住，精心，精细，用心认真做好房，
周边描述
北邻高铁站，东邻怡然城大型购物商场，南邻儿童商城，吉美超市，对面旭康洗浴中心，南边爱特购物中心，香榭丽都美食街
交通描述
楼下有儿童商城，美食街，大型超市，洗浴中心，北有高铁站，大广高速出入口，中华大街南北贯穿，
            ",100%,28 晚,小区住宅,2室2厅,整租,"双人床
双人床",2张,4人,1,86平米,提供,衡水-桃城区-大庆西路539号 -香榭丽都北区,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '被子']",,房间位于大庆路中华大街香榭丽都小区内，停车方便，小区门口，7路，29路，公交直达,0,,228,,100.0%,92.9%,86.9%,18,3.044
地暖给力，近高铁，怡然城二中，十四中一居,"
                黄金楼层，智能门锁，精致大气的装修，电梯房，正规小区，让你远离灰尘和雾霾的侵害。大卧室舒适的大软床，智能液晶电视，电脑，快速WIFI，床上用品以及洗漱用品保证都是一客一换，客厅有沙发，茶几，餐桌餐椅，阳台全新洗衣机，晾衣架，卫生间里备有热水器，全天候可以洗热水澡，厨房厨具，锅具，餐具，所有用具齐全，买回食材就可以做饭，还有冰箱，生活更方便，包括水电等费用

周边描述
大庆路中华大街香榭丽都，旭康对面，儿童商城北边，香榭丽都美食街北邻，楼下天天便利，香榭丽都美食街，南有爱特超市，东有怡然城超市，儿童商城，

交通描述
北邻衡水高铁站，大广高速出口，南边到汽车站，火车站，五分钟车程，小区内停车方便，多条公交经过，开往出租车很多，公交车站就在小区门口
            ",100%,28 晚,普通公寓,1室0厅,整租,圆床,1张,2人,1,70平米,提供,衡水-桃城区-大庆西路539号 -香榭丽都,衡水,桃城区,"['电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '被子']",,,0,,168,,100.0%,92.9%,86.9%,18,3.044
【康姐民宿】近路北高铁精品一室大床房，停车方便,"
                住宅小区，智能门锁，繁华中世外静谧桃园，楼下超市和美食街满足你的味觉享受，
24小时热水淋浴，一次性洗漱用品，浴巾，毛巾，洗发水，沐浴液，牙具，舒适大软床，床品全部舒适亲肤，时尚舒适，冷暖名牌新空调，名牌电视，热水器，全自动洗衣机，晾衣架，厨房厨具餐具齐全，买回食材和调料就可以自己烹饪美食，一家人尽享浓浓亲情。
车可以开进小区，停车方便。加油，银行DTM24小时存取款机。
临近高铁站，理想城，市，万德福，儿童城，怡然城，十四中学，九中小学，衡水二中学，五中初中部，旭康洗浴，儿童商城，吉美购物广场，上海广场，爱特购物中心，香榭丽都美食街，各种美食任你选择，满足你的美食欲望
            ",100%,20 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,55平米,提供,衡水-桃城区-育才北大街-怡安嘉园,衡水,桃城区,"['无线WIFI', '电视', '淋浴', '空调', '洗衣机', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '泳池', '浴缸']",儿童商城，万德福超市，信誉楼，香榭丽都，上海公馆广场，恒丰理想城，市广场，旭康洗浴，香榭丽都美食街,位于育才北大街，小区周边紧主干路四通八达，公交车繁多，北邻近高铁站，前进街,0,,128,,100.0%,92.9%,86.9%,18,3.044
富亿坊温馨日租房 一居室 可住2人,"
                房间里温馨而浪漫，卫生干净，每客必换，
            ",100%,22 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,36平米,提供,衡水-桃城区-报社街88号-富亿坊小区,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风']",,小区步行5分钟多条公交线路,0,,100,,100.0%,100.0%,100.0%,9,3.889
【康姐民宿】近衡水学院对面一室精品公寓,"
                地暖超级给力，房间精致精细精心布置，图片真实有效，电梯直达，一点一滴全是温馨舒适，全天候热水，冷暖空调，双人大软床，沙发茶几，全自动洗衣机，升降晾衣架，双电梯直达，液晶电视，百兆光纤网络， 一次合作，一生朋友，期待有缘相识入住请带好本人身份证，实名登记， 为了不对邻居造成影响，请不要大声喧哗。 禁止聚众，赌博，涉黄，一切违法行为。 爱护房屋和物品，保持室内卫生间整洁
周边描述

衡水学院对面！恒丰·蓝波湾，下了前进街高架桥右转即到小区小吃一条街，万德福超市，
交通描述

停车方便，小区门前7路，12路，16路，21路.23路公交车通过
            ",100%,52 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,42平米,提供,衡水-桃城区-桃城区河西和平路与前进大街交叉口的东北角 -恒丰·蓝波湾,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '被子']",,,0,,108,,100.0%,92.9%,86.9%,18,3.044
【康姐民宿】近车站，二中，十三中，大一居,"
                房屋为房东精心装修，用心布置，星级床品，品牌家电，优雅格调。无论是公司差旅还是亲朋小聚，都是不二之选呦
1，[户型]一室一厅一厨一卫，一张直径二米圆床，可供二个人居住，房间温馨风格，尽享异域风情，舒适静美，独立厨房，自煮美事健康安全，回归家庭之美。
2，室内设施；室内免费使用wifi，24小时热水供应，冰箱，洗衣机，品牌液晶电视，品牌空调，电吹风，洗澡用品毛巾，浴巾，洗发水，沐浴液，一次性洗漱用品，如；牙膏牙刷，
            ",100%,26 晚,小区住宅,1室1厅,整租,圆床,1张,2人,1,58平米,提供,衡水-桃城区-和平西路266号-御园,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '电饭煲', '灭火器']",小区东侧紧邻爱特购物中心，走路十分钟到车站，楼下还有多条公交路线通过，吃饭和出行特别方便，,和平中路爱特西邻，中华大街东行一百米路南，车站12路直达,1, 可以做饭#  购物吃饭方便#  睡的很香#  空间真大#  ,99,5.0,100.0%,92.9%,86.9%,18,3.044
【康姐民宿】近二院三院，衡中东校区，汽车东站，精品两室,"
                衡中东校区，二院，汽车东站，万德福，精装阳光套房，河东京衡大街与胜利路交叉口，河东京衡大街，河东最繁华地段，停车方便，室内精致装修。图片实景实拍，智能门锁，品牌家具家电，小高层，电梯房，黄金楼层，高档小区。 附近万德福超市，吉美超市，河东汽车站，二院，太阳城，电影院， 出入方便，停车方便，出门公交站牌， 配备，格力空调，智能热水器，净水机，精致装修大客厅，品牌双人舒适大床，床品保证一客一换，液晶电视，百兆WiFi，智能热水器，全新全自动洗衣机，晾衣架，给你一个温馨.安静，舒适，温暖的家，
周边描述

小区东北角是万德福超市，4k电影院，是集吃玩购物于一体的好去处，门口很多美食，西行一百米是吉美超市，南行一百米是衡水二院肿瘤专科医院。东边200米是衡水监狱
交通描述

位于京衡大街胜利路，出行很方便，南到衡水湖，衡中东校区，出小区门口到衡水汽车东站和公交车站
            ",100%,28 晚,普通公寓,2室2厅,整租,"双人床
双人床",2张,4人,1,87平米,提供,衡水-桃城区-胜利东路1668 -幸福嘉园,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '被子']",小区东北角是万德福超市，4k电影院，是集吃玩购物于一体的好去处，门口很多美食，西行一百米是吉美超市，南行一百米是著名衡水二院肿瘤专科医院。,位于京衡大街胜利路，出行很方便，南到衡水湖，衡中东校区，出小区门口到衡水汽车东站和公交车站，,0,,228,,100.0%,92.9%,86.9%,18,3.044
【康姐民宿】近哈院车站，衡百大楼三中六中，舒适二居,"
                智能门锁，高档住宅小区，图片实景实拍，新房大二居套房，可洗衣服，可做饭，布艺公主超级舒适圆床又软又舒适，全新名牌空调，冰箱，洗衣机，大容量热水器，液晶电视，电脑，给你一个温馨舒适的家，临近哈励逊国际和平医院，火车站，汽车站三中，六中，双电梯四户，南边是哈励逊国际和平医院，北边是火车站，汽车站，紧挨着休闲广场，吉美超市，红旗电影院，交通四通八达
            ",100%,42 晚,普通公寓,2室2厅,整租,"双人床
其他",2张,4人,1,110平米,提供,衡水-桃城区-河西红旗大街与新华路交叉口东南角-天鸿国际,衡水,桃城区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁']",小区附近衡百大楼，商贸城，九州饺子城，北门对面汉釜宫烤肉，重庆火锅，唯美整形医院，德隆超市，吉美超市，休闲广场，红旗影院，火车站，汽车站，新华路蔬菜水果市场，烟酒百货批发市场，人民公园，榕花街手机商业一条街,位于哈院东北角高档小区内，东临六中校区，南邻三中校区，到国际和平哈励逊医院步行五分钟，到车站三分钟车程，到衡水湖公交18路，门前多条公交经过，出租车繁多，,0,,218,,100.0%,92.9%,86.9%,18,3.044
哈院，百货大楼附近大床房,"
                房间装修风格简约而温馨，房间配置齐全，吃饭购物很方便，是你出行的不二选择。
            ",100%,22 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,36平米,提供,衡水-桃城区-报社街88号-富亿坊小区,衡水,桃城区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '被子']",,,0,,100,,100.0%,100.0%,100.0%,9,3.889
