名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
临近海河食品街鼓楼古文化街 观景大床房,"
                地处老城厢繁华地段，临近海河、南市食品街、古文化街、欧式风情街、大悦城等，交通便利，距离地铁2号线鼓楼站450米、距离一号线二纬路350米。房间配备液晶网络电视、天猫盒子、Wi-Fi、24小时热水器、电水壶、中央空调、地采暖、洗漱用品、浴巾毛巾，房间卫生一客一换，保证干净整洁。公寓配备电梯、房卡电子锁，安全性极高，24小时管家式服务，独立一居室、独立卫生间，私密性高，可放心居住，温馨舒适的大床房给您一个温暖舒适的家.日租时租、月租，租期灵活
            ",100%,26 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,60平米,提供,天津-和平区-庆善大街370号-金茂广场,天津,和平区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '被子']",大悦城购物中心；南市食品街；鼓楼商业街；古文化街；意大利风情街；小白楼五大道  招商银行 农业银行  建设银行  上海银行  宁夏银行 天津银行,"到天津巢氏兄弟酒店式公寓（金茂店）附近的公交车:
609路、628路、632路、633路、641路、658路、681路、832路、961路、606路、635路、638路、639路、640路、646路、659路、675路、676路、829路、841路、878路、905路、954路、公交巴士观光线路、观光2路、静海-食品街专线、161路、168路、657路、840路、855路、865路、中旺-西站专",0,,599,,100.0%,100.0%,100.0%,2,5.0
天津站/津湾广场/意式风情街景区/北欧Loft观景房,"
                北欧清新简约风格，房间配备2间卧室、1间客厅、1间厨房和2间卫生间。 40寸全智能WiFi电视，100兆WiFi，还配置了空调、洗衣机、冰箱等全套品牌电器家具。楼上分别配有1.8*2米双垫高档大床和1.5*2米舒适大床，全棉亲肤四件套，尽享家的温馨。楼上配置榻榻米品茶区，精致的茶桌前品品茶，在香飘屋内外，味淳一杯中，让您彻底放松心情！楼上、下各配置一个卫生间，简洁方便，洗漱用具齐全，洗澡24小时热水妥妥的！楼下客厅配有北欧风格简约时尚的沙发、特色格调吧台的休闲区让您尽享悠然。还设有长8米，高4米多的全玻落地阳台，让你在高空尽揽津城美景。尤其到了夜晚，坐于吧台细呷美酒的香醇，全玻阳台将津城夜景可尽收眼底，那是多么的惬意的感受！如果您已厌倦了外面的饭菜，开放式厨房，厨具齐全，可简单配餐制作，让您完全体验家的感觉。楼内设有八部电梯，让您出行不用长时间等待电梯，楼宇属高档公寓楼，物业设有门禁管理安全有序，24小时保安在岗。
            ",100%,30 晚,Loft公寓,2室1厅,整租,"双人床
榻榻米",2张,4人,2,71平米,提供,天津-河东区-新开路与南横街交口-东亚风尚御景大厦,天津,河东区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待儿童2到12岁', '接待老人60岁以上', '接待外宾', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '电磁炉', '电饭煲', '观景露台']",我们的家位于繁华的市中心，紧邻东站和津湾广场，坐落于河东区新开路与南横街交口东亚风尚国际御景大厦2号楼。步行500米可到达未来广场和嘉华国际商业中心，吃饭、看电影、大型超市、商业购物都很方便。肯德基，星巴克咖啡，大铜锅、海底捞等各种火锅，大宅门、新疆风味、内蒙古风味、自助海鲜、茶餐厅、烧烤、粤菜等各种饭店应有尽有！距东站和津湾广场约1800米，步行或地铁都很方便。,我们的家紧邻东站，属天津内环内的新开路上。交通便捷，地铁2号线，公交689、507、663、340、621、666、905、856、902、528、827、461等线路，不管您是旅游还是出差对于您来说都是不错的选择。乘坐地铁二号线从远洋国际站B出口步行200米左右即可到达，去天津各个景点基本打车都是起步价，去哪都是很方便滴！ 距天津站1.8公里，坐地铁2号线一站地直达，可在天津站换乘9号线、3号线,10, 第一次住民宿，感谢房东给了我们一家非常美好的回忆。房子装修的很有品位，跟图片上的一样，复式，各种物件干净整洁，很有家的温馨感。孩子很喜欢房东准备的抱偶，走的时候恋恋不舍。希望下次到天津还能住在这里。+ 房东态度很好 很赞！+ 房东非常热情，民宿地址也很好找，离景区都很近，很满意的一次住宿。+ 入住体验超级棒，带父母旅游一定要选择环境舒适以及交通便利的房子，这家绝对是您不二的选择。+ 停车方便#  地铁交通便利#  可以做饭#  房东服务周到#  干净卫生#  + 地铁交通便利#  干净卫生#  设施齐全#  可以做饭#  房东服务周到#  + 房东特别好，房间也很干净，所有东西都很齐全，价格也很人性化，房间的地理位置也特别好，很喜欢！谢谢啦，以后来天津还会来这里的！+ 非常不错 环境优美 + 房东姐姐人超级好，房子特别干净，+ 房东服务周到#  干净卫生#  地铁交通便利#  设施齐全#  购物吃饭方便#  ,258,5.0,100.0%,100.0%,92.9%,2,5.0
海洋馆/于家堡高铁站火烈鸟主题阳光大床房,"
                简约时尚精装修，配备舒适的大床和一客一换的床上用品。以人为本设计的办公桌、茶几和小圆桌，无论您是办公、用餐还是会客，都会有不同的空间和环境。
?500米内有药店、银行、各种餐饮店、彩带公园、极地海洋馆。
1000米内有医院、高铁站、外滩公园、金元宝购物中心、环球购免税购物广场、电影院、潮音寺等配套设施，很好齐全。
            ",99%,30 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,天津-滨海新区-迎宾大道1988号-浙商大厦,天津,滨海新区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '接待外宾']",楼道干净整洁，周边都是写字楼，安静宜人。物业管理安全有序，24小时保安巡视，出入需刷门禁卡，让您住的安全放心。周边配有小吃，银行，社区医疗。,位于天津市塘沽区于家堡中心商务区，从于家堡高铁站步行15分钟即到，从塘沽外滩坐529四站，822五站即到；从洋货坐110八站即到。楼下有821，110，524，529，822等多条公交路线，十分方便。如果您开车，还有免费的停车场。,6, 很好很干净+ 都不错，谢谢！+ 非常干净整洁+ 非常感谢民宿+ 非常感谢民宿+ 非常感谢民宿！,185,5.0,100.0%,100.0%,90.7%,9,4.989
海洋馆附近阳光大床房,"
                简约时尚精装修，配备舒适的大床和一客一换的床上用品。以人为本设计的办公桌、茶几和小圆桌，无论您是办公、用餐还是会客，都会有不同的空间和环境。
?500米内有药店、银行、各种餐饮店、彩带公园、极地海洋馆。
1000米内有医院、高铁站、外滩公园、金元宝购物中心、环球购免税购物广场、电影院、潮音寺等配套设施，很好齐全。
            ",100%,30 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,天津-滨海新区-迎宾大道1988号-浙商大厦,天津,滨海新区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '接待外宾']",楼道干净整洁，周边都是写字楼，安静宜人。物业管理安全有序，24小时保安巡视，出入需刷门禁卡，让您住的安全放心。周边配有小吃，银行，社区医疗。,位于天津市塘沽区于家堡中心商务区，从于家堡高铁站步行15分钟即到，从塘沽外滩坐529四站，822五站即到；从洋货坐110八站即到。楼下有821，110，524，529，822等多条公交路线，十分方便。如果您开车，还有免费的停车场。,0,,185,,100.0%,100.0%,90.7%,9,4.989
双人豪华大开间,"
                55平米大开间中央空调.数字液晶电视,高配置电脑24小时免费上网；厨房可配备电磁炉.可以做饭.冰箱,全自动洗衣机24小时热水,双人布艺软床,沙发组合衣柜.数字机顶盒.一次性洗漱用品高配置电脑.10兆光纤入户.提供无线wifi上网.床上用品一客一换.也可加床服务。
            ",100%,28 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,天津-滨海新区-河北路1431号-时代大厦,天津,滨海新区,"['淋浴', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯']",滨海新区时代大厦酒店式公寓.楼宇高30层.小区环境优雅。楼下便是洋货市场。坐落在塘沽区繁华中心位置.楼下全国有名的洋货市场。海河外滩.极地海洋馆.金元宝步行街、及银行。,时代大厦位于塘沽区中心.交通十分方便.四通八达.楼下便是塘沽轻轨站.海河外滩.极地海洋馆,1, 地铁交通便利#  干净卫生#  设施齐全#  性价比高#  ,158,5.0,100.0%,70.0%,100.0%,28,5.0
梅江会展天津大学南开大学财经大学环湖医院,"
                1.房屋位置：紧邻友谊南路，地处梅江会展中心、奥体中心繁华地段；周边好几个公交站，距离华山里地铁站非常近，交通出行非常方便！紧邻微山南路小吃街，人人乐，大润发大型购物超市，吃饭购物应有尽有！
距离天津大学，南开大学北洋校区10分钟路程，楼下就是公交站613直达学校！
2.户型：精装大一室一厅，房间户型方正，阳光充足，十分温馨。
3.装修：简约明快风格；
4.屋内设施：房间内WIFI，24小时热水，洗衣机，微波炉，液晶电视，空调设备，洗浴用品毛巾，浴巾，洗发液，沐浴液，一次性洗漱用品如牙膏牙刷，电吹风，暖气很好！
5.此小区物业是全国的万科物业，小区24小时保安巡逻，随叫随到！超大绿化，在天津市是非常有名的高档住宅小区！新小区门禁系统，时刻守卫您的安全。
6.交通方式：多条公交线路，四通八达，近天津南站、天津西站，天津站；紧邻外环线13公里直达机场。
7.房屋周边设施：紧邻大梅江，银行、学校、酒店、医院、商场、饮食等周边配套齐全！
8.到附近可免费接送，机场和火车站有偿接送！
            ",100%,24 晚,普通公寓,1室1厅,整租,"双人床
单人床",2张,3人,1,51平米,提供,天津-津南区-双港首创昆兰苑-昆兰苑,天津,津南区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '接待外宾', '泳池']",小区出门就是香堤广场，购物吃饭非常齐全。小区对面就是麦当劳，300米就是微山路商业圈，吃饭购物十分齐全！,距离房屋7公里地铁1号线华山里地铁站和梅林路6号地铁站地铁站。出门就是613公交站，可直达华山里地铁1号线，天津大学，南开大学北洋校区！出行非常便利。,0,,218,,100.0%,100.0%,100.0%,7,5.0
瑞湾馨源家公寓,"
                 本酒店位于天津市塘沽区新港一号路瑞湾国际，星级标准，豪华大床房，24小时温泉水，免费无线网，独立卫生间，开放式厨房，可以做饭，有洗衣机，冰箱，微波炉等配套设施，环境优雅，24小时保安值班，紧邻于家堡高铁站，市民广场轻轨站，交通非常便利。旅游景点有海边人工沙滩，航母公园，方特娱乐场，海洋，外滩公园等。
            ",100%,22 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,45平米,提供,天津-滨海新区-新港一号路-瑞湾国际2429号,天津,滨海新区,"['宽带上网', '无线WIFI', '电视', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '被子']",旅游景点：极地海洋世界，人工沙滩，方特，水魔方，航母，北塘古镇，网红读书馆。,位于于家堡高铁附近交通特别方便102.816.529公交,2, 环境不错棒棒棒+ 上周末孩子发烧了，等着我吧，这周末还去,238,5.0,100.0%,100.0%,98.9%,10,4.5
自助入住、简约风格一室一厅、独卫地热、科技大学、财经大学、陈塘庄、复兴门地铁站,"
                室内精心设计，品牌家电，中央空调，现代简约风，小区内24小时保安，给您带来安全舒适的居住环境。
            ",100%,30 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,62平米,提供,天津-河西区-黑牛城道与洞庭路交口-四信公寓,天津,河西区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '新风系统', '有窗户', '沙发', '茶几', '净水机', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '电磁炉', '花园']",,距离地铁一号线陈塘庄站步行15分钟，骑共享单车5分钟。,2, 第二次入住，真心不错，继续合作，！+ 很好的民宿，和图片一样，干净整洁，下次继续！,155,5.0,100.0%,92.3%,100.0%,8,5.0
[宜居]之家 时尚家庭豪华套房,"
                您将结识一位爱读书，爱旅游，开郎热情的大姐，欢迎光临时尚装修的浪漫风格，酒店式公寓房，入住2人，可以是情侣房，可以是三口之家套房，内有空调，无线网，24小时热水澡，还可提供厨具做饭，旅途之余，到楼下附近超市买些食材，还可做一顿美餐，快来大展厨艺吧！
            ",100%,24 晚,小区住宅,1室1厅,整租,"双人床
单人床",2张,2人,1,45平米,提供,天津-北辰区-北辰道406号-新都汇广场,天津,北辰区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '接待外宾']",电梯入户，楼下大广场，停车方便，大地影院，各银行，超市，饭店等，生活方便,"位于新都汇广扬，北辰道与京津路交口，附近天津第二儿童医院，北辰医院，中医院，北辰电大，职业技术学院，47中，公园，北运河观光带，儿童医院，麦当劳，大地影院，楼下交通站，+几路车通过，961,611,610,810,802,725,735,10,318等北辰医院(或御龙湾或北辰大厦)下车即到。乘坐1号地铁到刘园站下车转725,735,318北辰大厦下车对过即到，或打的士起步价可到。",1, 有家的感觉！,198,5.0,100.0%,100.0%,100.0%,15,5.0
天津站精品LOFT简约北欧风景观公寓,"
                房屋都是落地窗采光很好，品茶观景岂不美哉！家里所用电器均为知名品牌，一次性拖鞋及牙具还有餐具消毒柜等设备让您放心使用每一件物品。灶台上厨具佐料齐全，冰箱里各种饮料丰富让您犹如真正回到家里的感觉！
            ",90%,28 晚,小区住宅,1室1厅,整租,"双人床
沙发床",2张,4人,1,60平米,提供,天津-河东区-远洋国际中心b区 -未来里,天津,河东区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许携带宠物']",天津市内环线核心地段，坐拥繁华天津站新开路商圈，距离天津站前广场和后广场都只有不到十分钟的路程；津湾广场、世纪钟、百年万国桥，都萦绕在房子左右，让您感受到天津独具一格的标志性景观；楼下即是远洋未来广场、嘉华商业中心，沃尔玛大型购物超市，各种美食娱乐应有尽有，满足您一切需求；不远处的意大利风情街，带您领略古今中外的经典的文化；紧邻天津联盛大厦、琛赢大厦、江西大厦、润东大厦和冠福大厦等大型写字楼，方便商务沟通洽谈；商圈美食众多，尽享津味及中西各式美味。直通水滴体育馆，可以尽情看比赛、演唱会，充分释放白天的工作压力；便利通达鼓楼、古文化街，充分领略融贯中西的天津文化。楼下就是远洋国际购物中心各大菜系餐馆汇聚让您在楼下就可以尝到各种美食，如果逛累了附近还有紫金湾大型足道会馆为您解除一身的疲惫！,位于天津站商圈，从2号线远洋国际中心站D出口出来直接向前步行300米左右(中间过个红绿灯)左手边就是小区口,4, 挺开心的一次跨年，被这次入住破坏了心情。到民宿之前，问房东电视是否能看，调料是否都有，房东说应该都有，但到了后发现电视要收费，自己找了半天才找到一个能看的，至于为什么是靠自己，毕竟房东说他都不了解，那我们不靠自己还能靠谁呢..好不容易把电视调好了，发现做饭要的调料是摆在那好看的空瓶，盘子很脏，洗洁精和刀具也没有，我们体谅房东，就自己在美团外卖上订了耗油，醋，麻酱这些调料，也只让房东送来刀具和洗洁精，吃完饭我们问房东，是否需要洗碗，房东说都可以，不过要收清洁费，但平台上写的清洁费是免费，当然，如果是那个放在角落里不明说最后又冒出来的房东要求写要收，那就麻烦先把截图发我一下说清楚啊。我们把该倒的都倒进了垃圾桶，把空碗码在池子里放好，剩余的垃圾也全部扔出去了。第二天该退押金了，房东说他家里有事，退不了，要晚点，我也就没说什么，结果第二天您不知道退还得我们催？这时候您就开始说清洁也要收费了，本来做饭90元就不合理，您的酱料一滴没用，还给您留了我们买的，晚上做个饭电磁炉和水电费您收90？清洁费也不说清楚，退钱的时候才把房东要求发给我？打电话态度很差，还说我们矫情没教养？这次让您赚够，没下次了。+ 很好的环境住的很放心，北欧风格我很喜欢下次再来+ 房间很新，很宽敞。厨房调料齐全，虽然我们没用，但是能感觉到房主的用心。冰箱里的东西都是送我们的，超开心，有矿泉水，牛奶，泡面。房主还准备了一次性拖鞋。环境就和房主的图片一模一样。总之很喜欢。+ 干净整齐居住很舒服,178,4.5,100.0%,100.0%,92.0%,7,2.543
北辰刘园loft公寓大床房十榻榻米,"
                你将结识一个爱分享，性格开朗，热情好客的大姐。欢迎到我家做客!
时尚清新的装修风格，楼上楼下复式公寓，内置楼梯，配备一张舒适的大床，还配置一个单人床，一个榻榻米。床单被罩颜色时尚多款，随机分配哦！房间宽敞明亮，干净舒适，所用用品一客一换，相信您一定会舒舒服服的数个好觉！除此之外还有中央空调，液晶电视 。热水器，茶具等，免费WiFi ，以及两个独立的卫生间哦（24小时热水是妥妥的）！移动办公的话提供有办公桌，附近有超市，运河观光带，北辰郊野公园，休闲之余，可到河边走走，呼吸下北辰清新的空气，如果喜欢垂钓的朋友，可以到运河边大展您的技艺啊！
对房客的要求：
入住时间14点----次日12点前退房
订房时间每日7点------晚上11点前
可接待性别：不限
可接待年龄：1-69岁
其他要求：请保持环境 爱护设施 遵守当地法律
1，请准备好您的有效身份证件，需要登记；
2，爱护公寓的物品，易碎品超赞只看不碰哦，如果物品损坏，需要再买一件；随地吐痰，乱扔垃圾烟头的请止步。
3，接待爱干净的，有正当出行目的的
4，为了不对楼下邻居造成影响，请保持安静。
5，入住期间，非入住客人不能留宿。
            ",100%,30 晚,小区住宅,2室1厅,整租,"双人床
单人床
榻榻米",3张,3人,2,106平米,提供,天津-北辰区-北辰道与京津公路交口-新都汇广场大楼,天津,北辰区,"['无线WIFI', '电视', '空调', '洗衣机', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '电吹风', '被子']",楼宇内安装有大品牌电梯，楼道干净整洁。前面紧邻北辰公园，右边是北运河观光带，绿树环抱，清新 怡人，在这里您不用担心大都市的吵闹，安逸平静，可以享受看日落，钓鱼，烧烤等带来的乐趣。物业 管理_有序，24小时保安巡视，楼道有监控，让您住的安全放心。小区周边设施齐全，餐饮设施有麦当劳，肯德基，沙县小吃，呷哺呷哺，粥棚，兰州拉面小吃，水煮鱼，蒸海鲜等，金融机构有各大银行，医疗服务有北辰医院，中医院，儿童医院等。,"北辰医院站下车对过即到，仅仅隔着一条京津公路，楼下万平米大广场，大地影院，ktv,麦当劳，多条公交直达，611,961,725,735,10,318,812,802等线路，距离刘园1号地铁（1000米）很近，1号刘园地铁下车后725,735,转乘北辰医院(1站地)下车就到，或者打个出租起步价到新都汇家居广场大楼，十分方便",0,,286,,100.0%,100.0%,100.0%,15,5.0
天津市肿瘤医院旁温馨家庭房，周边水上公园，奥体中心，天塔,"
                此房间为1楼，夏天有空调，冬天有暖气，春秋均不能使用空调，下单前先联系房东确认有无空房，确认无误后方可下单付款，友情提示：订房的话，周一住，起租7天，周二住，起租6天，周三住，起租5天，周四住，起租4天，以此类推，节假日除外，谢谢合作！如遇节假日及特殊日期订房人太多不能保证留订单图片上一模一样的房间，只能留同等价位的房间，介意者慎拍。本店楼层1~4楼，房型有一室一厅和两室，为了给广大前来就诊的病人及病人家属提供方便，屋内配有电视，机顶盒，所有房间均备有电水壶，电饭锅，炒锅，蒸锅，电扇，空调，免费wifi，能洗澡，能做饭，被褥一客一换，干净卫生，拎包入住,交通便利,附近有菜市场和派出所，即安全又方便，适合来天津肿瘤医院就诊的病人和家属。住在本店的客户另备有医院门口优惠停车位供您选择。
            ",100%,16 晚,小区住宅,2室1厅,单间,单人床,2张,2人,1,12平米,提供,天津-河西区-体院北-环湖南里,天津,河西区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '厨房', '热水壶', '保安', '餐具炊具', '智能门锁', '被子']",,小区门口有体院北公交总站，（951路，13路，直达天津火车站）878路，619路，（859路到天津火车站西站），866路，705路等等，，小区外还有地铁6号线肿瘤医院站B出口处就是本店，交通非常便捷。另外提供火车站飞机场接送服务，详情价格咨询房东。,1, 房东人真的超好，而且挨着地铁和公交站都很方便，直接导航就可以去各种景点,100,5.0,100.0%,100.0%,82.1%,13,3.154
武清城际站附近 佛罗伦萨小镇旁 温馨舒适大床房,"
                武清城际附近，温馨舒适大床房
            ",100%,16 晚,小区住宅,3室2厅,单间,双人床,1张,2人,1,15平米,提供,天津-武清区-泉水路-泉鑫佳苑东区,天津,武清区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '被子']",小区对面有NBA中心，水域广场，有麦当劳，人人乐超市，后面是创意米兰，中信广场，五分钟到武清城际站，佛罗伦萨小镇等等。,"1、到武清火车站  滴滴五分钟车程；出小区路边568公交2块 十分钟左右就到了
2、到中心广场滴滴五分钟车程
3、到凯旋王国 568直达
总之无论商务还是小旅行 都很便捷啦～",1, 整体很满意，先说下内部环境，装潢不错，给人舒爽的感觉，床很舒服，很有质感，卧室不是很大，但是住两个人完全ok，屋内还准备了免费的矿泉水。叔叔阿姨待人很热情，还有只超帅的狗狗。去弗洛伦萨很方便，坐城际去天津站也很近，叔叔还给介绍了路线，这次出来，比较顺心，哈哈,168,5.0,100.0%,100.0%,80.0%,1,5.0
1家 西青大学城地铁3号线主题大床房,"
                你将结识一个热清、爱电影、喜欢游戏的大男生，希望您的入住可以留下一个美好的体验。房间装饰以粉色调为主，温馨浪漫，配备舒适大床，相信您一定会舒舒服服的睡个好觉。无线网覆盖整间屋子，24小时热水提供
            ",100%,36 晚,小区住宅,4室1厅,单间,双人床,1张,2人,1,25平米,提供,天津-西青区-精武镇潘楼路与郭村路交口 -潘馨园,天津,西青区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '电吹风', '被子']",小区周内，环境幽雅，清新怡人，健身器材齐全。小区周边设施齐全，餐饮设施有肯德基，彤德莱还有各种小吃，大型超市超市，喝酒撸串更是妥妥的,位于西青大学城附近，附近有公交车总站，地铁三号线，楼下有687等多路公交线路，十分方便,1, 很好哦。房东也很好,118,5.0,100.0%,100.0%,96.9%,8,5.0
盘山风景区下农家院双床房,"
                此套房位于京平高速盘山高速口东行一百米路北，在国家五A级景区盘山风景区旁，交通便利，环境优美。
            ",100%,36 晚,小区住宅,4室1厅,单间,"双人床
单人床",2张,3人,2,20平米,提供,天津-蓟州区-官庄镇石佛村一区五排14号,天津,蓟州区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '提供早餐', '餐具炊具', '允许携带宠物', '被子']",,"公交车

蓟州客运站坐旅游专线11路“盘山风景区”站下，单程车程约40分钟。

火车

北京方向：京蓟城际快速列车（单程14.5元）停靠站点和时间分别为：

1、K7783次北京东站8:35分始发，终到蓟县站9:34分；

2、K7784次蓟县站10:08分始发，终到北京东站11:07分；

3、K7787次北京东站18:45分始发，燕郊站19:09分停/19:28分开，终到蓟县站20:09分；",0,,150,,100.0%,100.0%,96.7%,3,1.633
天津双人电竞大床房古文化街旁近地铁美院,"
                浪漫舒适大床+通透落地飘窗+独立卫生间24小时热水，大幕投影，按摩电脑椅，双人高配置电脑（8G运行，512G固态，1660s显卡，9400F主板）.32寸曲面屏。床上用品一客一换，自助厨房+免费宽带上网+有线电视。
本房屋地处南开区繁华地段，坐落于天津老城区东北角原址，是天津商业和旅游的中心地区，与天津古文化街一路相隔，身后就是大胡同商业区，海河风景带围绕着我们，天津之眼近在眼前，天津站和天津西站都距我们不足两公里，周边交通线四通八达，便于您在天津的出行。客房多风格设计+地暖+完善的设施+贴心的服务+干净整洁的环境，给您带来温馨的家庭感受，灵活便捷的居住方式和**经济的消费，是您来天津的不二选择下榻之地，更是您休憩放松的之选。
马路对过建立多家银行，有建设银行农业银行交通银行工商银行中国银行交通银行渤海银行;家乐福超市7－11几步之遥，购物便捷，给您舒适的生活环境。
            ",96%,32 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,48平米,提供,天津-南开区-城厢东路与北城街交叉口-东北角艺术公寓,天津,南开区,"['宽带上网', '无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '电脑', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '茶几', '净水机', '洗浴用品', '牙具', '香皂', '燃气灶', '投影设备', '灭火器']",公寓周边分布着繁华的大胡同商业街区和新世界大型购物中心，古文化街、估衣街、鼓楼、天津之眼景区近在咫尺，大型超市、多家银行、邮局、餐饮、影院、娱乐、KTV等场所一应俱全。公寓属高档小区，闹中取静，设有车位，专业保安 24小时执勤，居住安全，是您商务住宿、休闲旅游、朋友聚汇的最佳温馨休闲场所,公寓周边分布着繁华的大胡同商业街区和新世界大型购物中心，古文化街、估衣街、鼓楼、天津之眼景区近在咫尺，大型超市、多家银行、邮局、餐饮、影院、娱乐、KTV等场所一应俱全。公寓属高档小区，闹中取静，设有车位，专业保安 24小时执勤，居住安全，是您商务住宿、休闲旅游、朋友聚汇的最佳温馨休闲场所,4,  很干净 很棒+ 房子的整体比较小巧，是那种主题模式的，窗外望得到天津之眼。只是公寓楼的整体卫生一般，有可能外来人口过多的原因！很是给直辖市丢分！价格合理！+ 装修的很漂亮！房间采光好，从窗口看外面的环境特别棒，空气很好！卫生整理的很干净。床大大的很软。设施齐全。住的很方便。+ 挺大的，还特别粉 房东人很好?(???????)?,288,4.8,100.0%,100.0%,96.3%,12,4.883
浙商大厦 海洋馆旁观景大床房,"
                简约时尚精装修，配备舒适的大床和一客一换的床上用品。以人为本设计的办公桌、茶几和小圆桌，无论您是办公、用餐还是会客，都会有不同的空间和环境。
?500米内有药店、银行、各种餐饮店、彩带公园、极地海洋馆。
1000米内有医院、高铁站、外滩公园、金元宝购物中心、环球购免税购物广场、电影院、潮音寺等配套设施，很好齐全。
            ",100%,30 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,天津-滨海新区-迎宾大道1988号-浙商大厦,天津,滨海新区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '接待外宾']",楼道干净整洁，周边都是写字楼，安静宜人。物业管理安全有序，24小时保安巡视，出入需刷门禁卡，让您住的安全放心。周边配有小吃，银行，社区医疗。,位于天津市塘沽区于家堡中心商务区，从于家堡高铁站步行15分钟即到，从塘沽外滩坐529四站，822五站即到；从洋货坐110八站即到。楼下有821，110，524，529，822等多条公交路线，十分方便。如果您开车，还有免费的停车场。,1, 非常不错，谢谢民宿,178,5.0,100.0%,100.0%,90.7%,9,4.989
