名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
诗人民宿_燕郊燕顺路纳丹堡舒适型一居室,"
                北欧风格装修，超越星级的体验，环境优雅，交通方便，去机场有大巴（30分钟），去市内有拼车（40分钟）
            ",100%,50 晚,小区住宅,1室1厅,整租,"双人床
榻榻米",2张,2人,1,66平米,提供,廊坊-三河市-燕郊经济技术开发区燕郊镇燕顺路夏威夷北岸-夏威夷北岸,廊坊,三河市,"['电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '被子']",美食烤肉，中央美院，,房子位于燕顺路，紧邻公交站，和机场大巴站点,1, 干净卫生#  可以做饭#  房东服务周到#  性价比高#  设施齐全#  ,138,5.0,100.0%,75.0%,100.0%,4,4.925
迪岸别墅轰趴馆,"
                迪岸轰趴馆占地1000平米，地处麦卡伦地，是集吃喝玩乐一体化的娱乐空间。一共分为4个场馆，可接待15~40人聚会。这里设有大型舞台、会议区、自助就餐区、台球、独立KTV、麻将、联机电脑、桌上足球、xbox游戏机、德州扑克、投篮器、娃娃机、百余种桌游等各式各样娱乐设施。场地可提供最多100个停车位，免费停车。
            ",100%,20 晚,独栋别墅,5室2厅,整租,"双人床
榻榻米
双层床",10张,25人,5,700平米,提供,廊坊-三河市-行宫西大街-胜德花园,廊坊,三河市,"['宽带上网', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '一次性用品', '热水壶', '提供早餐', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '允许携带宠物', '接待儿童2到12岁', '被子']",物美超市 京北花木园 诗雅艺术馆 燕子足道 网咖,立汤路麦卡伦地别墅区，可乘坐905路，房间较远建议自驾游,0,,3480,,100.0%,100.0%,100.0%,1,5.0
天洋城精美大一居,"
                       房间配有落地大飘窗，阳光充足，室内配有47寸液晶电视，洗衣机，卧室客厅均有空调。夜晚坐在飘窗上看到灯红酒绿的夜景非常美！
    房间配有百兆光纤wifl，纯棉床品，洗漱用品齐全，可做饭。
            ",100%,34 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,60平米,提供,廊坊-三河市-燕郊开发区汉王路南巷口村-天洋广场,廊坊,三河市,"['无线WIFI', '电视', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '拖鞋', '允许携带宠物']",出门即是巴人火锅，建设银行，天洋小吃街，物美超市，西侧北大荒饺子，星恋地歌厅，成龙影院等……,楼下即是天洋广场，物美超市，818公交站，半小时直达国贸。,2, 很好很温馨很干净+ 很好物超所值,138,5.0,100.0%,93.8%,91.7%,17,5.0
燕郊东贸国际服装城楼上舒适一居【一家小栈,"
                【位置】位于燕郊和北京交界处，东贸国际服装城楼上，购物上货零距离。东贸国际为成熟社区、商圈，周边配套设施齐全。小区属于燕郊首站，开车走通燕高速即可看到东贸，位于彩虹桥的北侧。并交通便利，是您出差旅行的不二选择。
【出行】开车直接上高速（燕郊内堵车严重，本小区不受影响），正常30-45分钟到达国贸。首都机场巴士位于本小区南门，小区南门为酒厂公交车站，多条线路直达北京大望路、郎家园。819路直达地铁6号线草房站。小区北门就是潮白人家公交车站，814/818路公交直达国贸。
【房屋介绍】小区24小时保安，单元门有门禁，安全可靠。本店承诺床上用品及毛巾浴巾，一客一换，一客一洗的原则。让您住的安心。室内安装有百兆独立光纤宽带，无线WIFI.网络机顶盒，让您能看到更多的电视节目。空调、洗衣机、电热水器.开水壶、电吹风、免费矿泉水、一次性牙刷、拖鞋。
【周边配套】小区楼下为东贸国际服装城，是由原北京动物园与大红门商户组成，服装城楼下就是物美超市，工行ATM机，小区北门有工行、建行。底商有各式商户，满足您不同的需求。是您购物与上货不二选择住地。燕达医院距本小区只有五分钟的车程。
【特别提示】本店浴液、洗发露为非一次性（本人出门基本不用酒店的一次性浴液及洗发露，原因我想不说大家也应该知道）本店均通过正规渠道采购的品牌产品。请您放心使用。
24小时电话在线，为您提供服务。我们的服务宗旨是诚信待客，热情周到。我们的承诺，让您有如家的温馨，您的满意是我们追求的目标，我们会一直在努力，让您有一美好的出行回忆。

            ",100%,28 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-行宫西大街556号-东贸国际,廊坊,三河市,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '泳池']",【周边配套】小区楼下为东贸国际服装城，是由原北京动物园与大红门商户组成，服装城楼下就是物美超市，工行ATM机，小区北门有工行、建行。底商有各式商户，满足您不同的需求。是您购物与上货首选住地。燕达医院距本小区只有五分钟的车程。,【出行】开车直接上高速（燕郊内堵车严重，本小区不受影响），正常30-45分钟到达国贸。首都机场巴士位于本小区南门，小区南门为酒厂公交车站，多条线路直达北京大望路、郎家园。819路直达地铁6号线草房站。小区北门就是潮白人家公交车站，814/818路公交直达国贸。,0,,168,,100.0%,100.0%,91.8%,5,5.0
宝德购物中心温馨眷恋小屋,"
                温馨舒适大床，无限入户，家电齐全，干净卫生，做饭调料均有备，可以大显一下您的厨艺，楼下购物，吃饭，买药坐车都非常方便！
            ",100%,38 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,45平米,提供,廊坊-固安县-新源街130号天园小区附近 -天园一期,廊坊,固安县,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '餐具炊具']",小区有公园，楼下有健身器材，还有充电装置，购物吃饭非常方便！,乘坐1路,0,,138,,100.0%,100.0%,100.0%,2,5.0
汇福悦榕湾个性北欧风格主题大一房,"
                优居旅租欢迎您的入住，这里有民宿，日租，月租，短租房等，环境优雅，干净整洁，有欧式装修风格，现代装修风格，田园风格，干净卫生一客一换，让您住的安心，舒心，放心，好楼层，好位置一居两居三居可供选择，，适合个人休息，家庭度假，朋友聚会，洽谈生意，生日宴会，情侣，WiFi免费，厨具卫浴一应俱全，可以做饭，小区周边设施齐全应有尽有，价格158到298不等，新房装修非常温馨舒适可以甩掉燕郊任何商家几条街，我们将竭诚为您提供极优质的服务，一、房源优势：
1、全明格局，客厅宽敞大气；
2、热门地段，热门楼层；
3、家私家电齐全，提包入住；
1、格局方正，使用率高达90%.
2、客厅宽敞舒适、落地阳台让充足的阳光不留余地的闯进来.
3、厨房宽敞，让您和家人有足够的空间展现私家厨艺.
4、连接客厅和厨房之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友. 三、社区介绍：
1、环境优美，适宜居住，人文素质高，物业管理完善，小区治安好.
2、小区属于低密度社区，非常适宜居住.特点：新房首次出租，液晶电视 空调 冰箱 洗衣机 24小时热水，毛巾 浴巾一次性洗漱用品，百兆免费宽带 可做饭，做旅租我们是认真的！
            ",100%,22 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-燕郊镇燕顺路-汇福悦榕湾,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '提供早餐', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '被子']","医院 餐饮  商超 位置
综合医院】 中美燕顺医院 1585米
【口腔医院】 京医大口腔 1977米
【口腔医院】 颐美口腔 1194米
【药店/药房】 鹤仁堂(第六分店) 
中餐馆】 福成自助烤肉(青年新城店) 849米
【餐饮】 古洼一锅鲜(燕郊店) 931米
【餐饮】 郭连锅灶台鱼 1672米
【餐饮】 宽板凳老灶火锅(潮白人家店) 1780米
【餐饮】 火炉城韩国烤肉 1970米
【餐饮】","（1）汇福悦榕湾简介
小区位于三河市燕郊开发区镇，该项目位于京东燕郊潮白河东畔，与北京通州隔河相望，与天安门直线距离30公里，首都国际机场25公里。高端别墅区、高尔夫球场、秀美的潮  白河拱卫项目周围，万豪、家乐福的进驻，使得项目集万千宠爱于一身项目位于潮白河东畔，与北京通州隔河相望，与天安门直线距离约30公里，距北京国贸CBD20公里，距首都国际机场25公里，距天津港120公里，南距通燕高速一公",0,,198,,100.0%,100.0%,100.0%,2,0.0
高铁站对面钻石国际一居大床房,"
                本房屋:屋内环境整洁，家用家电厨房一应俱全。小区环境很好比较安静
            ",100%,16 晚,其它,1室0厅,整租,双人床,1张,2人,1,46平米,提供,廊坊-安次区-常甫路-钻石国际,廊坊,安次区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许携带宠物']",廊坊高铁站对面,14路28路附近有公交车站,0,,136,,100.0%,100.0%,95.8%,5,2.78
万达高铁火车站附近K2狮子城北欧密码锁一居,"
                北欧风格，五星级床品，温馨大床，可洗衣做饭，全新环保家具，楼层高，拥有观景飘窗，景色好，离廊坊高铁站1公里多，离万达广场3公里，狮子城CBD商业圈，拥有特色饭店、大型购物超市、KTV、网吧、酒吧、儿童游乐场所等！
            ",99%,42 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,48平米,提供,廊坊-安次区-瑞丰道与银河南路交叉口西北50米-狮子城银河湾二期,廊坊,安次区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '泳池']",安次区核心CBD，楼下200米之内各种美食小吃，大型超市，酒吧，台球厅，健身游泳等等,离廊坊高铁站1.5公里，离万达广场3公里，楼下公交站6路，9路A，14路，15路A，25路，28路，9路B，到前进村站牌下车即到。,4, 挺好暖和干净+ 停车方便#  房东服务周到#  地铁交通便利#  干净卫生#  可以做饭#  + 停车方便#  房东服务周到#  干净卫生#  设施齐全#  购物吃饭方便#  + 很不错，隔音不是很好，附近环境还是很安静的,188,4.9,100.0%,77.8%,89.7%,8,4.987
蜗居 毗邻中央美术学院 星罗城购物广场 一居室,"
                房间位于汇福悦榕湾公寓3号楼低层，卧室带有大落地窗，温馨舒适-家的感觉。 房间内配有液晶电视、空调、冰箱、洗衣机、热水器、电吹风、百兆宽带（Wifi）、浴巾毛巾以及一次性洗漱用品、晾衣架等。
小区毗邻中央美术学院，人文气息浓厚！周边有星罗城购物广场、物美超市、迪卡侬、电影院、酒吧、KTV、便利店、小吃一条街等，生活十分方便。
房间位于燕顺路核心地带，步行5分钟即可抵达公交车站。公交车815路、818路可直达北京国贸地铁站，公交车819路可直达北京草房地铁站，出行十分便利。
?
            ",100%,20 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-燕郊燕顺路-汇福悦榕湾,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '接待外宾', '被子']","小区毗邻中央美术学院，人文气息浓厚！周边有星罗城购物广场、物美超市、迪卡侬、电影院、酒吧、KTV、便利店、小吃一条街等，生活十分方便。

?","房间位于燕顺路核心地带，步行5分钟即可抵达公交车站。公交车815路、818路可直达北京国贸地铁站，公交车819路可直达北京草房地铁站，出行十分便利。
?",1, 特别特别好  超值  服务也好  推荐大家入住,158,5.0,100.0%,70.0%,100.0%,2,2.5
大厂县民族宫附近火龙果庄园带院大主卧,"
                86平米大主卧，双卫生间，可加床，够一家四口，门口带60平米私密小院，20平米菜园型绿化，距离县市区中心三公里，民族宫西侧，车辆进出小区自如，本户有独立院门，给租户持有。院内院外都有免费车位，厨房配置烹饪导航机，烹饪导航机自动加调料、自动控制火力大小、自动监测锅內菜品温度、语音提示住客何时加入鲜料，自动停火、提示出锅，任何人都可以轻松烹饪出与厨师相当口味的菜肴，共有类似房间三套，最多可以居住十人，还有一个二百平米的活动中心，大开间，可以容纳50多人聚会、开会、办课程、聚餐、同学聚会，配套资源需要另外收费，600元天。
            ",100%,24 晚,独栋别墅,1室0厅,整租,双人床,1张,2人,1,86平米,提供,廊坊-大厂回族自治县-河西营-火龙果庄园,廊坊,大厂回族自治县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '拖鞋', '热水壶', '保安', '餐具炊具', '电吹风', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾']",小区有小公园、熟食部、绿色蔬菜园采购园。,厂2或厂3或厂4路，火龙果庄园下车，步行900米。,0,,198,,100.0%,100.0%,100.0%,1,0.0
