描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                小院私家泳池尽情撒欢畅想玩乐，足不出户可以观赏风景，休闲假期任你享，提供停车位，自驾出行不烦恼，提供儿童设施，尽享欢乐亲子时光，可做饭，自己动手，在异乡为爱的人下厨，房源设施齐全，洗漱用品齐全，不要你大包小包，提供电热水壶，健康度假零负担，超大客厅，聚会游戏办公随时随地，有电视热播综艺热播剧紧追不断档，有冰箱，美食放心购，全天保鲜无休，尽情享受沙发带给您的旅途，可洗澡，洗去一身疲惫，开启元气旅途，麻将机，Wifl，挂墙液晶电视，24小时热水，冬有地暖，夏有空调，可容纳16人居住，屋外大大露台上有烧烤区，休闲区，儿童沙池，您可以在厨房内烹饪各种美味佳肴，在烧烤区体验烧烤的乐趣，油盐酱醋锅碗瓢盆齐全，您只需带食材即可，烧烤炉子和碳免费提供给您，小院紧邻玉渡山风景区，龙庆峡风景区，万科石京龙滑雪场，野鸭湖，世园公园，松山风景区，古崖居风景区，超市，饭店，我们这里依山傍水，山清水秀，景色宜人，地理位置得天独厚，一年四季空气清新，约上好友聊聊天，品品茶，远离城市的喧嚣，让您的假期别样精彩。
            ",2580,独栋别墅,整租,15人,500平米,北京,延庆区,1, 室内特别干净，房东还准备了医药箱，还帮我们包饺子，而且泳池也也别干净，老板准备的东西超级齐全,5,100.00%,100.00%,100.00%,1,5,100%,18 晚
"
                享受都市之旅，坐拥亚奥商圈核心地段，紧邻鸟巢、水立方，城市夜景尽收眼底。距离奥林匹克体育中心咫尺之遥。公寓Wifi覆盖，健翔国际公寓属于亚奥区域比较不错的房源。爱特家店公寓在健翔国际公寓里，是由诚信兴业房地产集团开发打造，由盛世美景物业管理，品质保证。
公寓将睡眠区、会客区连成一体，独立卫生间使人在有限的空间产生无限的映射之感。房间内装修精致，舒适度有很大提升。
春节5天起租
            ",388,普通公寓,整租,2人,35平米,北京,朝阳区,8, 很好交通便利+ 干净卫生#  + 图片不真实，说好的大沙发呢？柜子快倒了，卫生间门是坏的，凑合住吧，可是这大过年的，心情不舒畅，以后不会来了，包括木鸟这个App！+ 非常温馨舒适的房间，房东也很友好，下次再来！+ 回国度假时候朋友重点推荐的住所，环境优雅，房间内部干净整洁有序温馨，重点是房东非常热情。交通工具也多，去景点非常方便。度假住所绝对是值得推荐的一个房源。+ 很温馨的小屋，附近好吃的不少，地理位置很好，入住很舒适，屋子收拾的也干净。所以下次再来，还是会选择的+ 总的来说还可以，细节方面服务不是特别理想。+ 感觉挺好的，有什么问题，房东都能及时来解决。,4.4,80.00%,88.90%,92.50%,2,4.9,89%,22 晚
"
                房间面积55平米设施齐全，无线上网
            ",360,普通公寓,整租,2人,55平米,北京,朝阳区,2, 屋子有点干+ 可以可以可,5,100.00%,72.70%,96.90%,3,4.933,100%,21 晚
"
                房间宽敞明亮，整洁舒适，有两张双人床和一张沙发床，最多可住4人，让您起居更顺畅，居住更舒适；室内环境舒适整洁、安静，适合学习，是学生、情侣、访友及来京短期进修、商务、公务或旅游人士的选择。
            ",458,小区住宅,整租,4人,30平米,北京,海淀区,10," 停车方便#  地铁交通便利#  可以做饭#  干净卫生#  房东服务周到#  + 房间非常棒，干净整洁，小区位置闹中取静，房间生活设施一应俱全，房东人也非常热心周到。下次家里人来北京，还选这家！+ 公交比较方便，周围吃点还可以+ 一次愉快的旅行，房东人非常好，附近吃饭购物都介绍的很详细！坐地铁也很方便！下次再来北京的话，还会来找他的+ 便宜方便，周边环境也不错。房东每天都过来打扫，环境很干净，也很温馨。楼下超市小吃很方便。恩这是一次不错的选择。嘿嘿！！！！！！！！！！！
+ 房子很干净，并且交通比较方便，对面就是北医三院。往西走不远就是学院路，北京航空航天，北京大学医学部，北京科技大学，中国地质都是比较近的，肯德基，麦当劳都可以很容易的在附近找到。房东也很热心。总之这个地方的性价比很高。比住酒店便宜，比一般小旅店干净，安全，卫生。送孩子上大学报到，去北医三院的都是比较方便的。以后去北京，还会住这里。+ 到的有点晚 房东依然耐心接待。让让感到很温馨，房子地脚很好交通也很便利。房子挺干净，条件和网上的一样这次经历使我以后出门会经常选择这样的房子。+ 房子是老房子，但距离地铁走路5分钟，很方便，不错。+ 小区环境还好，就是房子有点旧。但是着挺舒服的，有家的感觉，虽然是合租，但是大家都很和气很开心~离地铁近，出行很方便+ 非常满意 房子特别干净，地段特别的方便，并且离鸟巢水立方比较近，晚上比较安静，不吵，周边吃饭也方便",4.7,80.00%,100.00%,100.00%,11,4.809,94%,26 晚
"
                房间宽敞明亮，整洁舒适，两张单人床，最多可住2人，让您起居更顺畅，居住更舒适；室内环境舒适整洁、安静，适合学习，是学生、情侣、访友及来京短期进修、商务、公务或旅游人士的选择。
            ",198,小区住宅,单间,2人,30平米,北京,海淀区,6," 地铁交通便利#  房东服务周到#  干净卫生#  性价比高#  + 感觉还不错，隔音比较好，离地铁站近。+ 条件特别差，只适合完全不挑环境不挑卫生条件的人去住，外出务工人员落个脚没问题，家庭旅馆这种级别就别想了+ 比较真实，非常宽敞舒适，我们2个人住的，房间里有2张床，厨房比较干净，厨具齐全很不错,经济实惠,今天决定再住一天,满意,房东人很好+ 在这个地段价格比较实惠了，推荐，虽然不是之前定的房间，但也还是不错的啦+ 宽敞明亮,很干净,能上网,很不错,经济实惠,今天决定再住一天,满意,房东人很好",4.5,80.00%,100.00%,100.00%,11,4.809,89%,20 晚
"
                空调 冰箱 洗衣机 彩电 沙发 席梦思 床上用品 茶几 整体厨房 独立洗手间 全套燃具 厨具 餐具 中央热水 24小时保安 电梯 
房间是50平米的一居室，房间有一张1.8*2m的双人床可以住2个人。
            ",318,普通公寓,整租,2人,50平米,北京,朝阳区,10, 。。。。。+ 。。。。。。+ 。。。。。。+ 房间挺好的+ 干净卫生#  设施齐全#  + 。。。。。。+ 。。。。。+ 地铁交通便利#  房东服务周到#  干净卫生#  设施齐全#  房东热情好客#  + 好好好好好好！+ 其他的还好，就是卫生间的门，房东说那个门一提就容易反锁，我们都没提就锁了，房东倒是其实还不错大半夜四点了还回复微信，虽然最后解决了，但是期间很不愉快，各种埋怨我们提拔手，问题我们都没动，再说了，你明知有问题你也不提醒，也不把钥匙放出来，说一大堆片汤话，什么住的人这么多就你们锁上了？大半夜四点，两人下楼找卫生间，还要跟你置气，最后换锁还要我们出一半价格。总之，服务很不爽,4.8,100.00%,72.70%,96.90%,3,4.933,95%,29 晚
"
                房间经理实惠，整洁舒适，最多可住2人，让您起居更顺畅，居住更舒适；室内环境舒适整洁、安静，适合学习，是学生、情侣、访友及来京短期进修、商务、公务或旅游人士的选择。
            ",148,小区住宅,单间,2人,20平米,北京,海淀区,10," 交通非常便利，设施齐全，性价比高，可以做饭，就是房子有点陈旧，卫生一般+ 房子条件还行+ 房间比较大，也比较安静，有两张床可以睡三个人。交通方便，附近有地铁，房子也比较好找。+ 交通比较便利，环境也还可以+ 房东人很好,很人性化,房内设施齐全,沟通很愉快!在这里和小伙伴愉快的度过了假日!+ 还可以吧。+ 房间确实挺不错的～卫生间很干净～设施简单但是足够使用了，环境也蛮好的，晚上睡觉很安静～小区里吃饭什么的也比较方便，坐车也方便～+ 房间位置真的很不错！就挨着地铁口步行几分钟就可以到，房间还算干净 ，房东态度也比较好 好评！+ 离地铁很近，非常方便，很干净，很整洁。房东人也很好，很热心，推荐大家住这里。
+ 房子很好，住的很舒心，关键是老板人好，什么事都能为客人着想，有问必答，有求必应的。
",4.6,80.00%,100.00%,100.00%,11,4.809,93%,18 晚
"
                靠近安贞医院，靠近地铁，密码锁，精装修，干净卫生，适合亲子，可做饭。请先咨询再下单，长租可优惠。
            ",448,普通公寓,整租,4人,70平米,北京,朝阳区,1, 可以做饭#  设施齐全#  ,5,100.00%,100.00%,94.00%,9,5,100%,17 晚
"
                自我介绍
你将遇到一位英国留学回来的从外企管理职位辞职投身做短租房的喜欢艺术 绘画 钢琴 旅游 电影 音乐 烹饪 热爱生活 喜欢帅哥和美女 热情好客的80后女子（每一处细节尽显一颗高品质的少女心），我对于短租房的理解是：一个我喜爱并且让人觉得幸福快乐的家，它必须温馨、舒适、有爱、像家一样，而区别于冷冰冰的标准化的JIU DIAN房间，我对我的每一个房间的设计都走心 是精心布置的而不是敷衍一下仅仅能凑合住人而已，希望来住的朋友都能住的舒服并且会喜欢上这里并且能留恋并回来，希望能有更多的人喜欢上我和我的房子

房源介绍：
小区自建花园，景色宜人，无社会闲杂人员，有24小时保安和门禁系统，楼道内和大厅都有摄像头，很安全

房子总面积100多米平，两卧室，安装有双层隔音玻璃窗户，巨大阳台和客厅，有众多绿植绿化如春，豪华真皮沙发，100兆宽带，50寸液晶电视，秋千，电子钢琴

房内除普通的家电外，还有按摩仪，足疗仪，烤箱，烤面包机，榨汁机，香薰机，加湿器等




            ",999,普通公寓,整租,5人,118平米,北京,朝阳区,7, 网上预定的，性价比高，位置好找，房间打扫的很干净，床品没有味道，床品质量好，住的很舒服+ 非常好 位置方便 服务周到 下次还会再来！+ 周边环境很好，有地铁站，交通出行很便利。房间的装修简约舒适，床又大又软，晚上休息得很好+ 很好的一家民宿，服务很好，还会帮忙寄快递。没想到还贴心的给女性朋友准备了卸妆品和卷发棒+ 很喜欢的格调，温馨舒适典雅。当晚没房房东人很nice入住前协商给调了房间，性价比也很高。完美的入住体验。+ 布置的特别温馨，也特别的有感觉，还会再次入住。+ 房东姐姐人超级好，很细心，准备了各种吃的用的东西，很贴心，就跟家里没有什么区别。收拾的干干净净，住的很舒服，家里还有只超级乖巧的美短，以后定点住这里。完美！,4.9,100.00%,70.00%,100.00%,2,4.95,99%,22 晚
"
                房间宽敞明亮，整洁舒适，有2张单人床，可以住2个人，让您起居更顺畅，居住更舒适；室内环境舒适整洁、安静，适合学习，是学生、情侣、访友及来京短期进修、商务、公务或旅游人士的选择。
            ",228,小区住宅,单间,2人,45平米,北京,海淀区,3, 房东挺好哒，环境也不错??+ 还不错，干干净净的。房东人也很热情，还可以做饭，整体很满意+ 接待时已不是网上联系的人 换了房子和图片不一样 本人感觉不如意，还是爬楼梯顶楼。本次住宿不尽人意。,4.1,80.00%,100.00%,100.00%,11,4.809,82%,18 晚
"
                【位置】：北京市密云区古北水镇东侧小口村。

【结构】：别墅由客房区+室内公共区+室外烧烤休闲区三部分组成，占地646平米。

【客房区】：一共有 4 套loft双卧室套房，其中每套的一层是大床房（可住2人）二层是带露台的日式榻榻米房（可住3人）一共有 4 个卫生间，另外前院还有 1 个多功能卫生间。

【室内公共区】：100平米大开间开放式多功能厨房、餐厅、会议室、ktv活动空间。有两张1.5米*2米沙发床，客厅的多功能榻榻米平台（5米*2.7米）也可临时睡人，我们有备用床品。

【室外烧烤休闲区】：带顶棚的大型遮阳避雨葡萄架、烧烤操作台、农家大柴锅，小兔子的房子，蹦蹦床，小泳池（夏天）。

【其他便利】：
1、门口就是停车场，停车和搬运行李方便
2、可以携带宠物
3、距离菜市场2km购物方便
4、代收京东快递
5、开发票方便

【洗漱用品】：提供毛巾、浴巾、拖鞋、吹风机、洗发水、沐浴露、一次性牙具；

【娱乐】：自动麻将机、投影仪、游戏机，大型蹦床，KTV，饲养小动物。

【餐食】：
1、含免费中式早餐

2、提供点餐服务（提前预订）

3、自己做饭，我们免费提供齐全的现代化餐厨设备：
（双开门冰箱、煤气灶，电烤箱、微波炉、电火锅、电饭煲、电磁炉、电烤盘、咖啡机、制冰机、消毒柜、电热水壶及各种餐具厨具）
            ",3000,独栋别墅,整租,20人,636平米,北京,密云区,1, 非常宁静的小村里，独具匠心的现代民宿。公共活动区域设施一应具全，宜家家居的现代风格随处可见，麻将机投影仪大人孩子两相宜，落地窗配榻榻米茗茶聊天好惬意。卧室里有暖气地热，寝具被褥非常舒适，天台上观星也是不错的选择！,5,100.00%,100.00%,80.00%,3,5,100%,22 晚
"
                整个别墅是三层的 ，一共七个房间，期中有一间家庭套房。
三楼有露顶大阳台，可以烧烤，室内配备纯木大榻榻米、自动麻将机、沙发、地毯、五星级床品、品牌家具。
二层也有一个大阳台，还有四个卧室可以观景，可以聚餐，娱乐，在这大家可以度过一个愉快的假期！
一楼有厨房、客厅，还有一间标准间。
入住的客人可以做饭、接送
周边有超市，健身器材
去世园会的朋友可以给购买优惠票
            ",2988,独栋别墅,整租,23人,300平米,北京,延庆区,1, 停车方便#  干净卫生#  性价比高#  设施齐全#  房东服务周到#  ,5,100.00%,100.00%,96.70%,7,5,100%,26 晚
"
                农家小院，带有露天大院子，可在院内烧烤，娱乐，提供厨房，可自己做饭，步行可达景区，本院可提供吃住一体服务，方便您出行游玩！

小院提供亲子手工活动，带着宝宝一起做虎头帽，老虎包！陪伴孩子享受温馨的亲子时光！很适合三五个家庭一起出游，陪伴孩子们一起做手工，享受这愉快的假期！

房费含早餐（早餐：馒头、玉米粥、鸡蛋每人一个、腐乳、特色咸菜、凉拌小菜2样、随便吃）
在这里您可以感受到大自然的气息，吃到美味山野佳肴，也可带着美味食材体验以及动手下厨的乐趣，感受农家小院的悠闲与自在
地段位于十渡镇西庄民俗村内十渡誓言玻璃栈道旁边，地处繁华，交通方便
交通工具：公交，火车均可达，自驾京昆高速广禄庄村口十渡方向
附近有跑马场，小河边可划竹筏，景区有玻璃栈道，地下滑雪场，高山滑草，高山漂流，碰碰车，卡丁车，蹦极缆车，东湖港，孤山寨，游山玩水，应有尽有！
适合大家庭，朋友聚会，生日宴会，商务旅游，公司拓展等团体出游！
            ",488,小区住宅,整租,12人,180平米,北京,房山区,3, 很好很干净+ 房间整洁，房东很好，+ f地理位置很好，很容易就找到了，离景点的距离也很近，溜达着就到了，很方便。房间整齐卫生，老板娘很热情，做的菜也很好吃～推荐这家,5,100.00%,100.00%,80.00%,2,5,100%,16 晚
